PLAYER,MATCHES,BALLS,RUNS,WKTS
Imran Tahir,17,386,431,26
Kagiso Rabada,12,282,368,25
Deepak Chahar,17,387,482,22
Shreyas Gopal,14,288,347,20
Jasprit Bumrah,16,370,409,19
K Khaleel Ahmed,9,209,287,19
Mohammed Shami,14,324,469,19
Yuzvendra Chahal,14,296,386,18
Rashid Khan,15,360,377,17
Harbhajan Singh,11,264,312,16
Lasith Malinga,12,269,438,16
Ravindra Jadeja,16,324,343,15
Ravichandran Ashwin,14,330,400,15
Hardik Pandya,16,255,390,14
Rahul Chahar,13,282,308,13
Ishant Sharma,13,276,349,13
Bhuvneshwar Kumar,15,354,461,13
Chris Morris,9,198,306,13
Krunal Pandya,16,276,335,12
Sandeep Sharma,11,256,352,12
Amit Mishra,11,240,270,11
Jofra Archer,11,258,291,11
Dwayne Bravo,12,247,330,11
Navdeep Saini,13,288,397,11
Andre Russell,14,181,287,11
Axar Patel,14,306,364,10
Sunil Narine,12,266,347,10
Piyush Chawla,13,267,399,10
Sam Curran,9,198,323,10
Jaydev Unadkat,11,224,398,10
