"","init_node","numsteps"
"1",12,4
"2",13,4
"3",16,4
"4",19,4
"5",38,4
"6",44,4
"7",75,4
"8",115,4
"9",210,4
"10",211,4
"11",216,4
"12",288,4
"13",293,4
"14",336,4
"15",359,4
"16",448,4
"17",551,4
"18",586,4
"19",603,4
"20",608,4
"21",609,4
"22",614,4
"23",625,4
"24",639,4
"25",669,4
"26",675,4
"27",693,4
"28",802,4
"29",876,4
"30",884,4
"31",892,4
"32",893,4
"33",912,4
"34",919,4
"35",1097,4
"36",1120,4
"37",1146,4
"38",1207,4
"39",1387,4
"40",1467,4
"41",1561,4
"42",1582,4
"43",1835,4
"44",2080,4
"45",2196,4
"46",2270,4
"47",2458,4
"48",2471,4
"49",2570,4
"50",2597,4
"51",2843,4
"52",3032,4
"53",3072,4
"54",3184,4
"55",3231,4
"56",3452,4
"57",3454,4
"58",3571,4
"59",3651,4
"60",3710,4
"61",3730,4
"62",3749,4
"63",3799,4
"64",3821,4
"65",3854,4
"66",3857,4
"67",3936,4
"68",3975,4
"69",3985,4
"70",4009,4
"71",4011,4
"72",4016,4
"73",4023,4
"74",4025,4
"75",4036,4
