"","sm","pow"
"1",20,31.5499140715482
"2",21,261.358329409938
"3",22,32.1226302023099
"4",23,51.6209236059399
"5",24,23.39777861157
"6",25,52.2294178400649
"7",26,32.8178651579327
"8",27,20.3005901420121
"9",28,44.5234020862437
"10",29,20.2089871605515
"11",30,20.1608201558081
"12",31,19.4701874350958
"13",32,22.3866589735941
"14",33,31.3648629061521
"15",34,18.0383190009755
"16",35,33.3414156868001
"17",36,23.1867242836615
"18",37,30.1309617692973
"19",38,46.1486976939824
"20",39,12.3558353285671
"21",40,5.67786009321252
"22",41,16.5739085445903
"23",42,4.35889894354067
"24",43,39.9686782130112
"25",44,94.8595452937306
"26",45,12.6622799421484
"27",46,17.4196568406052
"28",47,8.48528137423857
"29",48,6.89927532426414
"30",49,24.6151327825946
"31",50,19.0811663451401
"32",51,31.5499140715482
