"","s","pow","std"
"1",1,109.238095238095,173.247716280139
"2",2,281.459459459459,159.162320114228
"3",3,333.387096774194,115.400280540431
"4",4,327.617647058824,118.374062988523
"5",5,341.016129032258,97.0903739780427
"6",6,350.029411764706,104.366918389828
"7",7,379.346153846154,20.3959649101332
"8",8,349.085714285714,78.3688006005134
"9",9,336.352941176471,110.035774445196
"10",10,354,19.4550764583437
"11",11,365.4,37.7241870119726
"12",12,373,26.7121407142607
"13",13,358.125,23.594415198759
"14",14,388,5.65685424949238
"15",15,389.5,3.53553390593274
